code_aliment;nom_fr;nom_scientifique;groupe;sous_groupe;sous_sous_groupe;energie_kcal_100g;eau_g;proteines_g;glucides_g;sucres_g;fibres_g;lipides_g;ag_satures_g;ag_monoinsatures_g;ag_polyinsatures_g;omega3_ala_g;sel_g;calcium_mg;fer_mg;magnesium_mg;zinc_mg;phosphore_mg;potassium_mg;vitamine_C_mg;beta_carotene_ug;vitamine_D_ug;vitamine_B12_ug;folates_B9_ug;vitamine_B1_mg;vitamine_B2_mg;vitamine_B6_mg;vitamine_E_mg
20276;Tomate ronde, crue;Solanum lycopersicum L.;fruits, légumes, légumineuses et oléagineux;légumes;légumes crus;17,5;94,6;0,5;3,42;3;1;< 0,5;< 0,01;< 0,01;< 0,01;< 0,01;< 0,013;6,8;0,17;7;0,08;20;210;19,9;807;-;-;-;-;< 0,01;0,07;-
20279;Asperge, verte, crue;Asparagus officinalis L.;fruits, légumes, légumineuses et oléagineux;légumes;légumes crus;24,7;92,5;2,46;2,03;1,5;2,15;0,27;0,069;0,007;0,16;0,013;0,014;22,4;1;12,2;-;85,5;267;15,5;-;0;0;-;-;-;0,15;-
20280;Chou romanesco ou brocoli à pomme, cru;Brassica oleracea var. botrytis;fruits, légumes, légumineuses et oléagineux;légumes;légumes crus;29,7;89,8;2,95;2,2;2,2;3,2;0,3;0,047;0,028;0,13;-;0,058;33;0,73;20;0,64;62;300;88,1;93;0;0;-;0,08;0,1;0,22;-
20282;Asperge, blanche ou violette, pelée, crue;Asparagus officinalis L.;fruits, légumes, légumineuses et oléagineux;légumes;légumes crus;21;93,2;2,2;1,62;1,62;2,1;0,12;0,04;0,0045;0,05;0,0042;0,005;24;2,14;14;0,54;52;202;5,6;449;0;0;-;0,14;0,14;0,091;-
20283;Salicorne (Salicornia sp.), crue;Salicornia sp.;fruits, légumes, légumineuses et oléagineux;légumes;légumes crus;13,1;92,2;1,02;0,98;0,021;1,79;0,17;-;-;-;-;2,96;39,7;2,6;53;0,5;201;201;1,05;1,08;0,059;0;-;0,0074;0,0074;0,043;0,49
20288;Salade sucrine, crue;Lactuca sativa L.;fruits, légumes, légumineuses et oléagineux;légumes;légumes crus;16,6;94,8;1,13;2,58;1,78;0,8;< 0,3;< 0,01;< 0,01;< 0,01;< 0,01;< 0,013;23;0,27;9,6;0,18;30;230;2,32;181;-;-;-;0,048;0,027;0,068;-
20295;Salade feuille de chêne, crue;Lactuca sativa L.;fruits, légumes, légumineuses et oléagineux;légumes;légumes crus;10,7;95,8;1,13;1,03;0,6;1,8;< 0,5;< 0,01;< 0,01;< 0,01;< 0,01;0,023;33;0,82;12;0,18;20;280;2,16;854;-;-;-;0,047;< 0,01;0,069;-
20340;Chou chinois pak choï ou pak choy (feuilles vertes ressemblant à des blettes), cru;Brassica rapa L. subsp. Chinensis;fruits, légumes, légumineuses et oléagineux;légumes;légumes crus;14,6;95,3;1,5;1,2;1,18;1;0,2;0,027;0,015;0,096;0,051;0,16;105;0,8;19;0,19;37;252;45;2680;0;0;-;0,04;0,07;0,19;-
20343;Tomate marmande, crue;Solanum lycopersicum L. var. pondorosa x mikado;fruits, légumes, légumineuses et oléagineux;légumes;légumes crus;-;94,5;-;2,81;2,81;-;traces;-;-;-;-;-;-;-;-;-;-;-;19,3;-;-;-;-;-;-;-;-
20344;Tomate noire de Crimée, crue;Solanum lycopersicum L.;fruits, légumes, légumineuses et oléagineux;légumes;légumes crus;-;94;-;3,08;3,08;-;traces;-;-;-;-;-;-;-;-;-;-;-;23,5;-;-;-;-;-;-;-;-
20345;Tomate allongée, crue;Solanum lycopersicum L.;fruits, légumes, légumineuses et oléagineux;légumes;légumes crus;18,8;94,4;-;3,29;3,29;2,1;traces;-;-;-;-;-;-;-;-;-;-;-;16,8;-;-;-;-;-;-;-;-
20346;Chou kale, cru;Brassica oleracea var. sabellica L.;fruits, légumes, légumineuses et oléagineux;légumes;légumes crus;34,6;89,6;2,92;0,32;0,32;4,1;1,49;0,18;0,1;0,67;-;0,13;254;1,6;33;0,39;55;348;93,4;2870;0;0;-;0,11;0,35;0,15;-
20347;Moringa, gousse, cru;Moringa spp.;fruits, légumes, légumineuses et oléagineux;légumes;légumes crus;-;88,2;2,1;5,33;-;3,2;0,2;0,033;0,1;0,003;-;0,11;30;0,36;45;0,45;50;461;141;-;0;0;-;0,053;0,074;0,12;-
20348;Moringa, feuille, cru;Moringa spp.;fruits, légumes, légumineuses et oléagineux;légumes;légumes crus;-;78,7;9,4;6,28;-;2;1,4;-;-;-;-;0,023;185;4;42;0,6;112;337;51,7;-;0;0;-;0,26;0,66;1,2;-
20385;Tomate sans précision, crue (aliment moyen);Solanum lycopersicum L.;fruits, légumes, légumineuses et oléagineux;légumes;légumes crus;19,2;94,1;0,6;3,69;3,22;1,02;< 0,5;< 0,01;< 0,01;< 0,01;< 0,01;< 0,013;6,78;0,19;7,49;0,092;21,3;225;20,1;874;-;-;-;-;0,0065;0,073;-
20496;Légumes pour couscous, surgelés, crus;(Genus and species unknown or multiple);fruits, légumes, légumineuses et oléagineux;légumes;légumes crus;44,3;-;1,93;6,47;3,05;2,53;0,63;0,1;-;-;-;0,12;35,6;0,8;-;-;-;-;27,4;-;-;-;-;-;-;-;-
20521;Graine germée de lentille, fraîche, crue;;fruits, légumes, légumineuses et oléagineux;légumes;légumes crus;123;67,3;8,96;19;-;3,1;0,55;0,057;0,1;0,22;0,038;0,028;25;3,21;37;1,51;173;322;16,5;-;0;0;-;0,23;0,13;0,19;-
20584;Tomate grappe, crue;Solanum lycopersicum L.;fruits, légumes, légumineuses et oléagineux;légumes;légumes crus;19,8;94,1;0,5;3,67;3,25;1,5;< 0,5;< 0,01;< 0,01;< 0,01;< 0,01;< 0,013;6,6;0,18;6,5;0,08;20;200;20,1;966;-;-;-;0,036;< 0,01;0,07;-
25604;Salade verte, crue, sans assaisonnement;(Genus and species unknown or multiple);fruits, légumes, légumineuses et oléagineux;légumes;légumes crus;13,5;96,1;1,01;1,5;0,83;1,3;0,1;0,028;0,0035;0,037;0,016;0,046;35,3;0,64;15,3;0,18;23,5;260;1,95;2000;< 0,5;0;-;0,041;< 0,04;0,052;0,17
25616;Crudité, sans assaisonnement (aliment moyen);(Genus and species unknown or multiple);fruits, légumes, légumineuses et oléagineux;légumes;légumes crus;27,7;92,8;0,91;3,06;2,49;1,55;1,15;0,23;0,57;0,16;0,025;0,033;22,5;0,35;11,3;0,17;25,8;247;11,4;2340;0,08;-;-;0,044;0,023;0,084;-
53100;Banane plantain, crue;Musa × paradisiaca L.;fruits, légumes, légumineuses et oléagineux;légumes;légumes crus;132;65,3;1,3;29,6;-;2,3;0,37;0,14;0,032;0,069;-;0,01;3;0,6;37;0,14;34;499;18,4;457;0;0;-;0,052;0,054;0,3;-
58100;Gombo, fruit, cru;Abelmoschus esculentus L.;fruits, légumes, légumineuses et oléagineux;légumes;légumes crus;31;89,6;1,93;3,8;1,48;3,2;0,19;0,026;0,017;0,027;0,001;0,018;82;0,62;57;0,58;61;299;23;416;0;0;-;0,2;0,06;0,22;-
13177;Chayote ou christophine ou chouchou, bouillie/cuite à l'eau;Sechium edule;fruits, légumes, légumineuses et oléagineux;légumes;légumes cuits;21,6;93,4;0,62;2,29;-;2,8;0,48;0,086;-;-;-;0,0025;13;0,22;12;0,31;29;173;8;-;0;0;-;0,026;0,04;0,12;-
19999;Poivron, vert, jaune ou rouge, cuit (aliment moyen);Capsicum annuum;fruits, légumes, légumineuses et oléagineux;légumes;légumes cuits;33;90,6;1,11;5,42;5,1;1,99;0,33;0,088;-;-;-;0,0055;8,86;-;12,9;0,18;24;180;82;-;-;-;-;0,022;0,031;0,29;0,9
20000;Artichaut, cuit;Cynara cardunculus L.;fruits, légumes, légumineuses et oléagineux;légumes;légumes cuits;33,2;85,8;2,53;0,99;0,99;8,3;0,28;0,069;0,011;0,14;0,025;0,15;42,9;0,67;44,6;0,29;73;427;9,1;8;0;0;-;0,05;0,089;0,081;-
20002;Aubergine, cuite;Solanum melongena L.;fruits, légumes, légumineuses et oléagineux;légumes;légumes cuits;27,1;89,7;0,83;4,17;3,2;2,5;0,23;0,044;0,02;0,093;0,0094;0,0025;20,1;0,25;15;0,098;15;123;1,3;22;0;0;-;0,076;0,02;0,086;-
20003;Betterave rouge, cuite;Beta vulgaris var. vulgaris L.  ;fruits, légumes, légumineuses et oléagineux;légumes;légumes cuits;41,5;88,3;1,44;7,13;6,7;2,5;0,4;0,15;0,13;0,07;< 0,01;0,23;24;0,29;17;0,29;18;320;< 0,5;< 5;0;0;-;< 0,015;< 0,01;0,031;-
20005;Bette ou blette, côte (sans feuille), cuite;Beta vulgaris var. cycla L.;fruits, légumes, légumineuses et oléagineux;légumes;légumes cuits;11,2;95,3;0,7;1,23;0,8;2,5;< 0,5;< 0,01;< 0,01;< 0,01;< 0,01;0,25;56;0,35;18;0,08;11;240;< 0,5;89,2;< 0,25;-;-;< 0,015;< 0,01;0,024;-
20007;Carotte, appertisée, égouttée;Daucus carota L. subsp. Sativus;fruits, légumes, légumineuses et oléagineux;légumes;légumes cuits;21,8;93;0,7;3,29;2,49;1,88;0,19;0,068;0,009;0,092;0,011;0,57;25;0,64;8;0,26;24;179;2,7;5330;0;0;-;0,018;0,03;0,11;-
20011;Champignon, tout type, appertisé, égoutté;(Genus and species unknown or multiple);fruits, légumes, légumineuses et oléagineux;légumes;légumes cuits;24,9;91,1;1,87;2,56;2,19;2,4;0,29;0,038;0,005;0,11;-;1,06;18,9;0,79;6,65;0,51;66;129;0;0;0,2;0;-;0,085;0,021;0,061;-
20015;Chou vert, cuit;Brassica oleracea var. capitata;fruits, légumes, légumineuses et oléagineux;légumes;légumes cuits;24,1;93,9;1,03;3,04;2,79;2,4;0,45;0,14;0,013;0,033;0,022;0,098;69,7;0,28;15,1;0,22;33;190;27,3;48;0;0;-;0,056;0,029;0,13;-
20017;Chou-fleur, bouilli/cuit à l'eau;Brassica oleracea L. var. botrytis L.;fruits, légumes, légumineuses et oléagineux;légumes;légumes cuits;20,9;93,7;1,6;1,6;traces;2;0,46;0,097;0,032;0,22;0,15;< 0,098;19,2;0,31;12,9;0,22;34;238;9,7;< 50;0;0;-;< 0,05;< 0,05;< 0,05;-
20018;Coeur de palmier, appertisé, égoutté;Euterpe oleracea Mart.;fruits, légumes, légumineuses et oléagineux;légumes;légumes cuits;41,5;90,2;2,51;5,5;1,5;2,2;0,56;0,13;0,1;0,2;-;0,81;58;3,13;38;1,15;65;177;7,9;-;0;0;-;0,011;0,057;0,022;-
20021;Courgette, chair et peau, cuite;Cucurbita pepo L.;fruits, légumes, légumineuses et oléagineux;légumes;légumes cuits;15,5;93,8;0,93;1,4;traces;1,5;0,36;0,1;0,029;0,15;0,11;0,098;19,3;0,32;22,3;0,22;65;238;2,9;173;0;0;-;< 0,05;< 0,05;< 0,05;-
20025;Céleri-rave, cuit;Apium graveolens L. var. rapaceum (Mill.) Gaudin;fruits, légumes, légumineuses et oléagineux;légumes;légumes cuits;36,5;90,1;1,3;4,6;2,8;2,6;0,86;-;-;-;-;0,15;52,4;0,32;15,1;0,24;58;306;2,7;< 50;0;0;-;< 0,05;< 0,05;0,07;0,22
20027;Épinard, cuit;Spinacia oleracea L.;fruits, légumes, légumineuses et oléagineux;légumes;légumes cuits;19,6;92,8;3,2;0,25;traces;2,7;0,14;0,054;0,0045;0,082;-;0,069;140;2,14;54,4;0,65;40;396;2,1;1610;0;0;-;< 0,05;0,1;0,06;2,4
20029;"Graine germée de haricot mungo ou pousse de ""soja"", appertisée, égouttée";Vigna radiata L.;fruits, légumes, légumineuses et oléagineux;légumes;légumes cuits;22,4;93,5;1,48;2,57;2,09;1,8;0,15;0,03;0,018;0,074;0,04;0,5;33,3;0,39;8,17;< 0,5;21,7;50,6;106;< 30;0;0;-;0,03;< 0,02;< 0,04;-
20030;Haricot vert, cuit;Phaseolus vulgaris L.;fruits, légumes, légumineuses et oléagineux;légumes;légumes cuits;29,4;89,3;2;3;0;4;0,17;0,048;0,0093;0,11;0,059;0,4;55,3;0,6;22,3;0,2;36;174;5;137;0;0;-;< 0,05;0,08;< 0,05;-
20033;Navet, cuit;Brassica rapa subsp. rapa L.;fruits, légumes, légumineuses et oléagineux;légumes;légumes cuits;25;93,4;0,9;3,8;2,9;2,2;0,2;0,008;0,005;0,042;-;0,073;37,3;0,11;8,75;0,099;26;237;5,6;< 50;0;0;-;< 0,05;< 0,05;0,06;-
20035;Oignon, cuit;Allium cepa L.;fruits, légumes, légumineuses et oléagineux;légumes;légumes cuits;34,6;90,4;1,3;6,2;4;1,4;0,2;0,024;0,02;0,056;-;0,021;29,2;0,21;13;0,19;44;220;2,1;< 50;0;0;-;< 0,05;< 0,05;0,09;-
20036;Petits pois, appertisés, égouttés;Pisum sativum;fruits, légumes, légumineuses et oléagineux;légumes;légumes cuits;92,5;72,8;4,87;13,7;3,59;5,75;0,8;0,15;0,071;0,38;0,065;0,65;20,6;1,18;16,3;0,42;67;106;4,2;514;0;0;-;0,11;0,053;0,056;-
20037;Petits pois, cuits;Pisum sativum;fruits, légumes, légumineuses et oléagineux;légumes;légumes cuits;61,4;82,9;5,8;4,7;1,7;5,8;0,87;0,21;0,019;0,1;0,014;0,018;32,7;1,17;31,9;0,8;96;135;1,8;414;0;0;-;0,13;0,05;< 0,05;< 0,1
20040;Poireau, cuit;Allium porrum;fruits, légumes, légumineuses et oléagineux;légumes;légumes cuits;-;91,9;0,81;-;-;-;traces;-;-;-;-;0,04;-;-;-;0,2;-;-;7;400;-;-;-;-;-;-;0,78
20046;Salsifis, cuit;Scorzonera hispanica;fruits, légumes, légumineuses et oléagineux;légumes;légumes cuits;67,7;-;2,73;12,3;2,9;3,1;0,17;0,041;0,003;0,074;-;0,04;47;0,55;18;0,3;56;283;4,6;0;0;0;-;0,056;0,17;0,22;-
20048;Tomate, pelée, appertisée, égouttée;Solanum lycopersicum L.;fruits, légumes, légumineuses et oléagineux;légumes;légumes cuits;16,4;94,8;0,9;1,61;1,6;1,27;0,28;0,034;0,04;0,1;0,0095;0,33;21,1;0,57;9,2;0,11;17;191;12,6;245;0;0;-;0,58;0,055;0,11;-
20049;Maïs doux, en épis, cuit;Zea mays L. convar. saccharata;fruits, légumes, légumineuses et oléagineux;légumes;légumes cuits;106;73,4;3,41;18,6;4,54;2,4;1,5;0,2;0,37;0,6;-;0,0025;3;0,45;26;0,62;77;218;5,5;66;0;0;-;0,093;0,057;0,14;-
20051;Macédoine de légumes, appertisée, égouttée;(Genus and species unknown or multiple);fruits, légumes, légumineuses et oléagineux;légumes;légumes cuits;40,4;87;2,32;5,59;1,73;3,16;0,28;0,076;0,016;0,12;-;0,61;40,7;1,05;10,6;0,28;42;291;5;5670;0;0;-;0,046;0,048;0,079;-
20060;Épinard, appertisé, égoutté;Spinacia oleracea L.;fruits, légumes, légumineuses et oléagineux;légumes;légumes cuits;24,5;91,8;2,81;0,93;0,4;2,4;0,5;0,081;0,013;0,21;-;0,81;127;2,3;76;0,46;44;346;14,3;5880;0;0;-;0,016;0,14;0,1;1,25
20062;Haricot vert, appertisé, égoutté;Phaseolus vulgaris L.;fruits, légumes, légumineuses et oléagineux;légumes;légumes cuits;23,2;93,4;1,34;2,07;0,77;3,36;0,32;0,083;0,017;0,21;0,077;0,65;38;1,06;13;0,2;20;96;2,8;122;0;0;-;0,016;0,046;0,03;-
20063;Haricot beurre, appertisé, égoutté;Phaseolus vulgaris;fruits, légumes, légumineuses et oléagineux;légumes;légumes cuits;23,2;93,3;1,2;3,25;0,86;1,78;0,2;0,022;0,004;0,051;-;0,67;26;0,9;13;0,29;19;109;4,8;63;0;0;-;0,015;0,056;0,037;-
20066;Maïs doux, appertisé, égoutté;Zea mays L. convar. saccharata;fruits, légumes, légumineuses et oléagineux;légumes;légumes cuits;105;75,4;2,66;18,3;2,37;3,1;1,68;0,26;0,22;0,42;0,015;0,59;3,51;0,35;26,9;0,39;46;224;2,1;22;0;0;-;0,015;0,016;0,065;-
20067;Artichaut, appertisé, égoutté;Cynara cardunculus L.;fruits, légumes, légumineuses et oléagineux;légumes;légumes cuits;39,8;89,9;1,5;6,5;1,5;3;0,2;0;-;-;-;0,8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
20068;Tomate, concentré, appertisé;;fruits, légumes, légumineuses et oléagineux;légumes;légumes cuits;99,2;72;4,4;17,1;13,3;4,2;0,53;0,1;0,067;0,16;0,01;0,27;45,6;1,2;63,3;< 0,1;103;1010;2,6;784;0;0;58;0,08;0,1;0,09;5,7
20071;Haricot vert, surgelé, cuit;Phaseolus vulgaris L.;fruits, légumes, légumineuses et oléagineux;légumes;légumes cuits;33,7;91,4;1,49;5,1;1,23;3;0,17;0,042;0,007;0,084;-;0,0025;42;0,66;19;0,24;29;159;4,1;334;0;0;-;0,035;0,09;0,06;-
20074;Artichaut, cuit à la vapeur sous pression;Cynara cardunculus L.;fruits, légumes, légumineuses et oléagineux;légumes;légumes cuits;46,4;81,4;2,63;3,24;1,9;10,9;< 0,3;< 0,01;< 0,01;< 0,01;< 0,01;0,068;42;0,7;41;0,27;56;480;< 0,5;43,4;-;-;-;0,03;0,023;0,086;-
20076;Asperge, appertisée, égouttée;Asparagus officinalis L.;fruits, légumes, légumineuses et oléagineux;légumes;légumes cuits;20,3;94;1,57;1,2;1,03;1,55;0,65;0,15;0,021;0,28;0,004;0,72;16;1,83;10;0,4;43;172;18,4;493;0;0;-;0,061;0,1;0,11;-
20077;Chou de Bruxelles, appertisé, égoutté;Brassica oleracea L. var. Gemnifera (DC.) Zenker;fruits, légumes, légumineuses et oléagineux;légumes;légumes cuits;37,8;88,9;2,5;4,1;2,5;3,3;0,53;0,097;0,073;0,36;-;0,57;26,3;0,7;12,2;0,2;53;252;18;465;0;0;-;-;-;-;0,69
20078;Céleri branche, appertisé, égoutté;Apium graveolens;fruits, légumes, légumineuses et oléagineux;légumes;légumes cuits;13,1;95;0,63;1,38;0,8;2;0,15;0,1;-;-;-;0,54;29,2;-;8;0,14;-;281;-;56;-;-;-;-;-;-;-
20079;Champignon de Paris ou champignon de couche, appertisé, égoutté;Agaricus bisporus;fruits, légumes, légumineuses et oléagineux;légumes;légumes cuits;18,3;92,9;2;0,64;0;2,5;0,37;0,065;0,006;0,27;0,00059;0,63;22,2;0,9;4,85;0,44;47;72,1;6,5;10;traces;0;-;0,051;0,12;0,025;-
20081;Salsifis, appertisé, égoutté;Scorzonera hispanica;fruits, légumes, légumineuses et oléagineux;légumes;légumes cuits;29,2;91,5;1,33;4,33;1;2,5;0,17;0,07;-;-;-;0,64;21;-;8,9;-;-;173;-;19;-;-;-;-;-;-;-
20086;Poivron vert, cuit;Capsicum annuum;fruits, légumes, légumineuses et oléagineux;légumes;légumes cuits;17,3;91,9;0,92;2,36;2,36;1,2;0,2;0,029;0,013;0,11;-;0,005;9;0,46;10;0,12;18;166;74,4;264;0;0;-;0,059;0,03;0,23;-
20088;Poivron rouge, cuit;Capsicum annuum;fruits, légumes, légumineuses et oléagineux;légumes;légumes cuits;37,9;90,2;1,17;6,41;6;2,2;0,35;0,1;-;-;-;0,0055;9;-;14;0,2;26;180;81;-;-;-;-;0,01;0,03;0,31;0,9
20093;Petits pois et carottes, appertisés, égouttés;Pisum sativum and Daucus carota L. subsp. Sativus;fruits, légumes, légumineuses et oléagineux;légumes;légumes cuits;53,8;87,5;2,52;8,58;3,32;3,08;0,37;0,074;0,023;0,13;< 0,01;0,62;23;0,75;14;0,58;46;100;6,6;3000;0;0;-;0,074;0,053;0,088;-
20094;Chou-rave, bouilli/cuit à l'eau;Brassica oleracea var. gongylodes L.;fruits, légumes, légumineuses et oléagineux;légumes;légumes cuits;28;90,3;1,8;4,4;2,8;1,1;0,11;0,014;0,008;0,053;-;0,053;25;0,4;19;0,31;45;340;54;21;0;0;-;0,04;0,02;0,15;-
20095;Chou rouge, bouilli/cuit à l'eau;Brassica oleracea L. convar. capitata L. var. rubra;fruits, légumes, légumineuses et oléagineux;légumes;légumes cuits;25,3;90,8;1,51;3,32;3,32;2,6;0,09;0,011;0,007;0,043;-;0,07;54,6;0,66;11,8;0,14;33;262;34,4;20;0;0;-;0,071;0,06;0,23;-
20096;Potiron, cuit;Cucurbita maxima;fruits, légumes, légumineuses et oléagineux;légumes;légumes cuits;26,1;92;0,81;4,47;3,1;2;0,07;0,037;0,009;0,004;< 0,01;< 0,01;13;0,18;6,9;0,1;21;230;0,84;6020;< 0,25;0;-;0,02;< 0,01;0,058;-
20102;Champignon de Paris ou champignon de couche, bouilli/cuit à l'eau;Agaricus bisporus;fruits, légumes, légumineuses et oléagineux;légumes;légumes cuits;28,7;91,1;2,17;3;2,34;2,2;0,47;0,061;0,008;0,18;-;0,005;6;1,74;12;0,87;87;356;4;0;0,2;0;-;0,073;0,3;0,095;-
20118;Fenouil, bouilli/cuit à l'eau;Foeniculum vulgare subsp. sativum;fruits, légumes, légumineuses et oléagineux;légumes;légumes cuits;11,7;94,4;1,13;0,8;0,5;2;< 0,1;< 0,039;< 0,027;< 0,06;< 0,0041;0,15;43;0,2;10,2;0,18;17,3;270;1,6;14;0;0;-;0,024;< 0,04;0,12;0,32
20124;Petits pois, surgelés, cuits;Pisum sativum;fruits, légumes, légumineuses et oléagineux;légumes;légumes cuits;65,8;79,5;5,15;7,95;4,65;5,5;0,27;0,049;0,024;0,13;-;0,18;24;1,52;22;0,67;77;110;9,9;1250;0;0;-;0,28;0,1;0,11;-
20125;Champignon de Paris ou champignon de couche, sauté/poêlé, sans matière grasse;Agaricus bisporus;fruits, légumes, légumineuses et oléagineux;légumes;légumes cuits;38,4;88,4;4,44;4,53;traces;0,9;0,6;0,18;0,16;0,18;< 0,01;0,028;2,7;0,31;14;0,81;140;540;< 0,5;< 5;0,2;0;-;0,062;0,36;0,029;-
20135;Fondue de poireau, préemballée;Allium porrum;fruits, légumes, légumineuses et oléagineux;légumes;légumes cuits;58,4;-;1,1;-;-;3,6;5,2;3,6;-;-;-;0,5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
20137;Tomate, pelée, appertisée, au jus, non égouttée;Solanum lycopersicum L.;fruits, légumes, légumineuses et oléagineux;légumes;légumes cuits;21,8;94,8;0,79;3,15;2,55;1,9;0,25;0,034;0,04;0,1;-;0,025;33;0,57;10;0,12;17;191;12,6;265;0;0;-;0,58;0,055;0,11;-
20141;Courge butternut (doubeurre), chair sans peau, bouillie/cuite à l'eau;Cucurbita moschata;fruits, légumes, légumineuses et oléagineux;légumes;légumes cuits;28,2;91,6;0,69;4,56;4,51;2,4;0,2;0,052;0,055;0,05;0,031;0,01;44;0,25;7,95;< 0,5;22;277;4,95;2080;< 0,1;0;-;0,03;< 0,02;0,11;-
20143;Courge spaghetti, chair sans peau, cuite;Cucurbita pepo L.;fruits, légumes, légumineuses et oléagineux;légumes;légumes cuits;28;92,3;0,66;5,06;2,53;1,4;0,26;0,062;0,022;0,13;-;0,045;21;0,34;11;0,2;14;117;3,5;59;0;0;-;0,038;0,022;0,099;-
20155;Artichaut, coeur, appertisé, égoutté;Cynara cardunculus L.;fruits, légumes, légumineuses et oléagineux;légumes;légumes cuits;24,2;90,5;1,8;2,31;1,2;3,2;< 0,5;< 0,01;< 0,01;< 0,01;< 0,01;0,78;25;0,4;18;0,28;34;150;12,2;24,6;< 0,25;-;-;0,021;0,03;0,026;-
20156;Artichaut, fond, appertisé, égoutté;Cynara cardunculus L.;fruits, légumes, légumineuses et oléagineux;légumes;légumes cuits;23,4;91,3;1,2;3,02;0,8;2,6;< 0,5;< 0,01;< 0,01;< 0,01;< 0,01;0,73;36;0,36;20;0,2;26;140;18;10,7;< 0,25;-;-;0,041;< 0,01;0,22;-
20158;Tétragone cornue, cuite;Tetragonia tetragonioides (Pallas);fruits, légumes, légumineuses et oléagineux;légumes;légumes cuits;13,5;94,8;1,3;1;0,25;1,4;0,17;0,027;0,005;0,071;-;0,27;48;0,66;32;0,31;22;102;16;-;0;0;-;0,03;0,11;0,24;-
20165;Rutabaga, cuit;Brassica napus subsp. rapifera;fruits, légumes, légumineuses et oléagineux;légumes;légumes cuits;26;91,5;0,93;4,26;3,95;1,8;0,18;0,029;0,027;0,095;-;0,013;18;0,18;10;0,12;41;216;18,8;1;0;0;-;0,082;0,041;0,1;-
20169;Tomate, chair, appertisée;Solanum lycopersicum L.;fruits, légumes, légumineuses et oléagineux;légumes;légumes cuits;22,6;93;1,2;3,63;3,2;1,8;< 0,5;< 0,01;< 0,01;< 0,01;< 0,01;0,068;20;0,39;11;0,09;20;260;10,5;1980;< 0,25;0;-;0,036;0,023;0,083;-
20170;Tomate, purée, appertisée;Solanum lycopersicum L.;fruits, légumes, légumineuses et oléagineux;légumes;légumes cuits;47,6;85,6;1,5;8,42;3,3;1,6;0,2;0,052;0,03;0,12;0,012;0,42;19,9;0,6;30;0,2;41,9;798;9;-;0;0;-;0,1;0,05;0,18;-
20188;Bambou, pousses, appertisées, égouttées; Bambusa vulgaris or Phyllostachys edulis;fruits, légumes, légumineuses et oléagineux;légumes;légumes cuits;19,3;95,1;1,63;1,9;1,89;1,2;0,31;0,072;0,007;0,14;-;0,19;10;0,28;3,5;0,56;22,5;307;1,1;8;0;0;-;0,023;0,038;0,12;-
20212;Champignon, lentin comestible ou shiitaké, cuit;Lentinula edodes (Berk.) Pegler;fruits, légumes, légumineuses et oléagineux;légumes;légumes cuits;60,9;83,5;1,56;12,3;3,84;2,1;0,22;0,05;0,07;0,034;-;0,01;3;0,44;14;1,33;29;117;0,3;0;0,7;0;-;0,037;0,17;0,16;-
20216;Pois mange-tout ou pois gourmand, bouilli/cuit à l'eau;Pisum sativum var. sachhamatum or var.macrocarpon;fruits, légumes, légumineuses et oléagineux;légumes;légumes cuits;30,9;90,9;2,25;3,39;2,3;2,8;0,3;0,08;0,07;0,11;0,04;0,013;35;0,46;14;0,28;40;100;20,6;501;< 0,25;0;-;0,073;< 0,01;0,022;-
20219;Chou frisé, cuit;Brassica oleracea var. acephala;fruits, légumes, légumineuses et oléagineux;légumes;légumes cuits;29,7;91,2;1,9;3,63;1,25;2;0,4;0,052;0,03;0,19;-;0,058;72;0,9;18;0,24;28;228;41;-;0;0;-;0,053;0,07;0,14;-
20221;Chou chinois pé-tsaï, sauté/poêlé;Brassica rapa L. subsp. Pekinensis;fruits, légumes, légumineuses et oléagineux;légumes;légumes cuits;18,9;94,2;1,06;2,77;2,72;1,6;< 0,5;< 0,15;< 0,15;< 0,15;< 0,15;0,043;54;0,28;10,2;< 0,5;39,4;285;11,4;< 30;< 0,1;-;-;0,02;< 0,02;0,11;-
20241;Cardon, cuit;Cynara cardunculus L.;fruits, légumes, légumineuses et oléagineux;légumes;légumes cuits;22;93,5;0,76;3,63;-;1,7;0,11;0,012;0,02;0,044;-;0,44;72;0,73;43;0,18;23;392;1,7;-;0;0;-;0,018;0,031;0,042;-
20242;Tomate, chair et peau, bouillie/cuite à l'eau;Solanum lycopersicum L.;fruits, légumes, légumineuses et oléagineux;légumes;légumes cuits;17,4;94,3;0,95;2,8;2,49;0,7;0,11;0,015;0,016;0,044;-;0,028;11;0,68;9;0,14;28;218;22,8;293;0;0;-;0,036;0,022;0,079;-
20243;Pois mange-tout ou pois gourmands, cuits;Pisum sativum var. sachhamatum or var.macrocarpon;fruits, légumes, légumineuses et oléagineux;légumes;légumes cuits;47,3;86,6;3,5;5,92;4,82;3,1;0,38;0,073;0,039;0,17;-;0,013;59;2,4;28;0,49;58;217;22;760;0;0;-;0,064;0,12;0,17;-
